award_id,recipient,amount,date,agency,sub_agency,naics_code,naics_desc,state,description
N0002421C5408,RAYTHEON COMPANY,1398663146.82,2021-09-29,Department of Defense,Defense Contract Management Agency,,,AZ,GUIDED MISSILE ASSEMBLY AND PIO CEILING TRACKER CLINS AWARD
36C24026K1008,MCKESSON CORPORATION,1398025092.11,2026-05-01,Department of Veterans Affairs,Department of Veterans Affairs,,,TX,EXPRESS REPORT: PHARMACEUTICAL PRIME VENDOR (PPV)FY2026 MAY
FA863416C2653,THE BOEING COMPANY,1397282803.14,2015-10-30,Department of Defense,Department of the Air Force,,,MO,F-15; ACAT II: RMP/V3 COMBINED RADAR BUY FY15
DAAB0702CF404,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",1396492096.87,2002-08-09,Department of Defense,Defense Contract Management Agency,,,MA,
F3365701C0022,TEXTRON AVIATION DEFENSE LLC,1395147014.14,2001-12-28,Department of Defense,Defense Contract Management Agency,,,KS,200211!000030!5700!GU47 !ASC/YTK !F3365701C0022 !A!N! !N! !20011228!20090228!007482011!788153588!001339159!N!RAYTHEON AIRCRAFT COMPANY !10511 E CENTRAL AVE !WICHITA !KS!67206!79000!173!20!WICHITA !SED
FA873918C5030,THE BOEING COMPANY,1391899887.04,2018-09-24,Department of Defense,Department of the Air Force,,,PA,UH-1N REPLACEMENT HELICOPTER SYSTEM
HHSO100201600030C,EMERGENT PRODUCT DEVELOPMENT GAITHERSBURG INC.,1385742139.1,2016-09-30,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,,,MD,IGF::OT::IGF
89303925FEM400064,"HANFORD TANK WASTE OPERATIONS & CLOSURE, LLC",1385702409.03,2025-02-18,Department of Energy,Department of Energy,,,WA,"THE AWARD CONTINUES PERFORMANCE OF INTEGRATED TANK DISPOSITION CONTRACT VIA THE IMPLEMENTATION TASK ORDER, TO-02."
DEAC3010CC60025,"CENTERRA GROUP, LLC",1382722835.71,2009-10-08,Department of Energy,Department of Energy,,,SC,PROTECTIVE FORCE SECURITY SERVICES FOR THE DEPARTMENT OF ENERGY'S SAVANNAH RIVER SITE
N0002424C5408,RAYTHEON COMPANY,1380494831.69,2024-09-27,Department of Defense,Defense Contract Management Agency,,,AZ,GMA (MK25) C-BAND
47QFCA21F0018,BOOZ ALLEN HAMILTON INC,1379603153.12,2021-03-09,General Services Administration,Federal Acquisition Service,,,DC,"TASK ORDER (TO) 47QFCA21F0018 IS HEREBY AWARDED TO BOOZ ALLEN HAMILTON, INC. (BAH) TO PROVIDE ENTERPRISE LEVEL DATA TO THE OUSD(C), AND ITS STRATEGIC PARTNERS (I.E., DOD FOURTH ESTATE, DOD DEPARTMENTS"
